prompt,label,domain
"summarize: Write a comprehensive executive summary of this article about macroeconomics: 'Macroeconomics has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",0,logic
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 23)",0,logic
"summarize: Write a comprehensive executive summary of this article about renaissance art: 'Renaissance art has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",0,gen
calculate: Solve this basic linear equation: 20x + 50 = 200,0,math
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 54).",0,json
explain: What is the capital city of Beijing's country?,1,gen
summarize: Shorten this short statement about artificial intelligence: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 54.,0,code
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about quantum physics.",0,gen
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 14).,1,json
translate: Translate this philosophical text to Chinese: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',1,translate
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 16),1,logic
calculate: Solve this quadratic equation: x^2 + 63x - 84 = 0 and find both real roots.,0,math
calculate: Solve this quadratic equation: x^2 + 111x - 148 = 0 and find both real roots.,0,math
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,0,gen
summarize: Shorten this short statement about inflation rates: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound MichaelX melting at 860C +/- 1.5C, while compound MichaelY melted at 1505C +/- 2.0C.'",0,gen
"translate: Translate this short phrase to Japanese: 'Good morning, where is the hotel?'",1,translate
code: Draft a four-stanza poem about the concept of artificial intelligence and the flow of time.,1,gen
code: Draft a four-stanza poem about the concept of space exploration and the flow of time.,0,gen
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about inflation rates.",0,gen
"classify: Perform multi-label classification on this customer feedback transcript: 'The customer service agent was very polite, but the product was delivered late and arrived damaged. I demand a full refund immediately.'",1,logic
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 48.,0,code
translate: Translate this philosophical text to Arabic: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
extract: Retrieve all names and emails from this list: '1. Robert - robert@example.com; 2. Alice - alice@example.org'.,0,gen
"translate: Translate this short phrase to Italian: 'Good morning, where is the hotel?'",1,translate
"code: Write a complete movie script scene set in a base on Mars, including character dialogues, stage directions, and audio cues about space exploration.",0,gen
calculate: Solve this basic linear equation: 38x + 95 = 380,1,math
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound SophiaX melting at 940C +/- 1.5C, while compound SophiaY melted at 1645C +/- 2.0C.'",1,gen
"translate: Translate the following formal business email to German: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
"extract: Parse this scientific abstract to extract all chemical compounds, their experimental melting points, and associated error bounds: 'We observed compound JohnX melting at 1000C +/- 1.5C, while compound JohnY melted at 1750C +/- 2.0C.'",1,gen
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 4).,1,json
summarize: Shorten this short statement about inflation rates: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 12).,1,json
summarize: Shorten this short statement about quantum physics: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
"summarize: Write a comprehensive executive summary of this article about quantum physics: 'Quantum physics has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",0,gen
classify: Is this positive or negative: 'This product is absolute garbage!' (ID: 4),0,logic
"summarize: Write a comprehensive executive summary of this article about clean energy: 'Clean energy has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
"json: Create a complex nested JSON schema for an inventory management system order with recursive reference arrays, currency constraints, and status enums (ID: 51).",0,json
code: Design a multi-threaded web crawler in C++ that respects robots.txt and uses a thread pool of size 57.,0,code
"summarize: Write a comprehensive executive summary of this article about artificial intelligence: 'Artificial intelligence has witnessed a massive influx of funding. Major institutions are upgrading their infrastructure. However, regulatory frameworks remain underdeveloped, posing severe risks for retail consumers and systemic stability.'",1,gen
explain: What is the capital city of Toronto's country?,1,gen
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
extract: Retrieve all names and emails from this list: '1. Alex - alex@example.com; 2. Alice - alice@example.org'.,1,gen
code: Write a short haiku about quantum physics.,1,gen
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 37).,0,json
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",1,gen
calculate: Solve this quadratic equation: x^2 + 117x - 156 = 0 and find both real roots.,1,math
"translate: Translate the following formal business email to French: 'Dear Sir, we are writing to confirm that your shipment has been delivered successfully. Please sign the attached invoice.'",1,translate
translate: Translate this philosophical text to Chinese: 'All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.',0,translate
explain: Explain the biological process of photosynthesis and how light energy is captured by chlorophyll.,1,gen
calculate: Solve this quadratic equation: x^2 + 114x - 152 = 0 and find both real roots.,1,math
summarize: Shorten this short statement about space exploration: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
json: Generate a simple JSON object representing a book with fields 'title' and 'author' (ID: 16).,0,json
json: Generate a valid JSON schema representing a user profile containing email validation and nested address fields (ID: 36).,1,json
"translate: Translate this short phrase to Russian: 'Good morning, where is the hotel?'",1,translate
"explain: A farmer needs to cross a river with a wolf, a goat, and a cabbage. If left alone, the wolf eats goat, or goat eats cabbage. Explain the steps to cross safely. (ID: 32)",0,logic
"explain: Detail the historical timeline, key political agreements, and structural consequences of the Treaty of Versailles signed in 1919.",0,gen
extract: Retrieve all names and emails from this list: '1. Emma - emma@example.com; 2. Alice - alice@example.org'.,0,gen
summarize: Shorten this short statement about quantum physics: 'The quick development of technologies has changed our daily routines in many unexpected ways.',1,gen
